Age,No. of years in Formal Education,Sector,Household'S Usual Consumer Expenditure In A Month (Rs.)
19,4,1,8417
41,15,1,10833
40,15,1,10833
7,1,1,10833
12,6,1,10833
76,5,1,46000
74,7,1,46000
51,5,1,46000
46,9,1,46000
24,15,1,46000
15,10,1,46000
47,9,1,46000
41,9,1,46000
17,13,1,46000
13,7,1,46000
48,17,1,32833
40,15,1,32833
14,10,1,32833
43,10,1,12350
41,10,1,12350
14,8,1,12350
13,6,1,12350
66,15,1,18080
59,12,1,18080
30,16,1,35233
29,8,1,8550
26,5,1,8550
22,10,1,8550
24,8,1,8550
34,0,1,9278
24,0,1,9278
6,0,1,9278
2,0,1,9278
42,5,1,9848
28,8,1,9848
11,5,1,9848
8,3,1,9848
63,7,1,4583
56,0,1,4583
53,12,1,9125
48,10,1,9125
29,15,1,9125
22,12,1,9125
1,0,1,9125
40,12,1,14658
30,11,1,14658
11,5,1,14658
7,1,1,14658
44,15,1,13400
39,12,1,13400
16,9,1,13400
9,2,1,13400
13,6,1,13400
50,10,1,4625
45,0,1,4625
19,9,1,4625
68,0,1,4625
32,15,1,13375
30,9,1,13375
11,4,1,13375
8,2,1,13375
56,7,1,13375
52,0,1,13375
64,4,1,3417
58,0,1,3417
50,3,1,6950
48,0,1,6950
7,0,1,6950
15,9,1,6950
11,4,1,6950
8,2,1,6950
72,10,1,13673
58,8,1,13673
30,15,1,13673
28,9,1,13673
11,3,1,13673
7,1,1,13673
3,0,1,13673
27,12,1,13673
23,10,1,13673
3,0,1,13673
43,7,1,10483
37,10,1,10483
7,1,1,10483
19,13,1,10483
17,11,1,10483
13,7,1,10483
29,7,1,13275
28,7,1,13275
76,11,1,11225
62,5,1,11225
29,15,1,11225
23,10,1,11225
1,0,1,11225
34,7,1,11225
45,7,1,9973
41,7,1,9973
16,9,1,9973
19,12,1,9973
70,6,1,9862
60,0,1,9862
37,8,1,9862
34,5,1,9862
13,7,1,9862
16,10,1,9862
9,3,1,9862
91,0,1,9862
58,2,1,2937
35,9,1,4808
27,8,1,4808
8,1,1,4808
63,10,1,12492
54,12,1,12492
22,17,1,12492
46,15,1,13000
42,12,1,13000
17,12,1,13000
60,10,1,15842
55,8,1,15842
26,15,1,15842
68,7,1,16042
46,15,1,16042
34,10,1,16042
12,6,1,16042
46,9,1,10517
44,7,1,10517
21,15,1,10517
11,6,1,10517
41,9,1,9346
17,11,1,9346
12,6,1,9346
43,15,1,12433
37,15,1,12433
11,6,1,12433
47,9,1,7692
39,8,1,7692
63,14,1,42083
53,10,1,42083
35,17,1,42083
27,16,1,42083
5,0,1,42083
3,0,1,42083
30,17,1,42083
25,17,1,42083
2,0,1,42083
57,10,1,7192
42,4,1,7192
22,16,1,7192
26,12,1,7192
70,6,1,7150
65,0,1,7150
35,12,1,7150
75,12,1,7150
48,6,1,10708
38,5,1,10708
15,0,1,10708
20,14,1,10708
17,11,1,10708
52,9,1,7870
48,8,1,7870
19,11,1,7870
29,16,1,13625
55,0,1,13625
50,8,1,13625
26,9,1,13625
36,2,1,10125
31,7,1,10125
14,8,1,10125
13,7,1,10125
13,7,1,2167
48,12,1,14303
44,8,1,14303
16,11,1,14303
24,18,1,14303
20,14,1,14303
56,8,1,23363
36,15,1,23363
36,15,1,23363
6,0,1,23363
35,12,1,23363
33,15,1,12398
25,15,1,12398
41,0,1,11148
39,0,1,11148
21,12,1,11148
20,12,1,11148
31,12,1,15758
23,5,1,15758
8,1,1,15758
6,0,1,15758
22,5,1,15408
25,5,1,15408
37,8,1,15408
20,10,1,15408
19,8,1,15408
50,0,1,14404
40,0,1,14404
20,8,1,14404
18,9,1,14404
65,0,1,16737
47,0,1,16737
28,10,1,16737
22,9,1,16737
20,9,1,16737
72,11,1,15383
57,9,1,15383
17,11,1,15383
22,15,1,15383
53,8,1,21258
50,2,1,21258
26,12,1,21258
27,17,1,21258
27,17,1,21258
22,15,1,21258
29,12,1,15346
26,12,1,15346
8,2,1,15346
64,6,1,10517
38,12,1,10517
35,17,1,10517
43,8,1,26792
39,8,1,26792
19,12,1,26792
15,9,1,26792
39,8,1,26792
15,9,1,26792
14,8,1,26792
5,0,1,26792
61,12,1,20550
54,7,1,20550
47,14,1,20792
45,9,1,20792
21,13,1,20792
18,10,1,20792
20,13,1,20792
50,10,1,6604
44,9,1,6604
77,9,1,26000
59,4,1,26000
42,15,1,26000
36,12,1,26000
17,10,1,26000
14,8,1,26000
56,10,1,20583
55,10,1,20583
29,15,1,20583
33,17,1,12833
29,15,1,12833
3,0,1,12833
59,7,1,15867
52,7,1,15867
26,12,1,15867
23,12,1,15867
54,9,1,15750
43,9,1,15750
22,14,1,15750
42,10,1,17833
37,9,1,17833
11,6,1,17833
9,3,1,17833
45,9,1,17833
50,0,1,5167
47,17,1,19000
45,12,1,19000
15,10,1,19000
22,14,1,19000
19,12,1,19000
75,5,1,19000
42,10,1,23333
41,10,1,23333
19,14,1,23333
23,17,1,23333
45,10,1,17083
40,9,1,17083
9,1,1,17083
23,15,1,17083
22,16,1,17083
12,5,1,17083
41,15,1,34167
31,17,1,34167
3,0,1,34167
47,5,1,17083
29,15,1,17083
27,15,1,17083
25,15,1,17083
45,10,1,14917
40,9,1,14917
15,9,1,14917
55,0,1,8667
26,11,1,8667
23,9,1,8667
34,17,1,12083
32,15,1,12083
65,4,1,5417
52,16,1,20742
49,17,1,20742
22,14,1,20742
19,13,1,20742
55,10,1,15633
45,8,1,15633
22,10,1,15633
22,15,1,15633
0,0,1,15633
20,9,1,15633
16,9,1,15633
40,12,1,13633
35,15,1,13633
15,8,1,13633
68,15,1,12950
60,10,1,12950
38,12,1,12950
36,12,1,12950
8,2,1,12950
10,3,1,12950
6,0,1,12950
32,9,1,10800
30,5,1,10800
8,3,1,10800
7,2,1,10800
4,0,1,10800
76,15,1,7467
65,10,1,7383
48,10,1,13300
46,10,1,13300
22,12,1,13300
21,12,1,13300
20,10,1,13300
18,11,1,13300
19,12,1,13300
15,9,1,13300
60,4,1,17750
55,4,1,17750
32,10,1,17750
30,12,1,17750
28,12,1,17750
52,13,1,13250
43,9,1,13250
21,15,1,13250
23,16,1,13250
40,4,1,11617
35,7,1,11617
20,11,1,11617
18,12,1,11617
87,11,1,17717
60,8,1,17717
30,17,1,17717
50,9,1,10300
40,3,1,10300
18,11,1,10300
16,9,1,10300
46,0,1,10217
38,0,1,10217
16,9,1,10217
18,10,1,10217
50,7,1,4958
47,9,1,10667
35,8,1,10667
8,1,1,10667
0,0,1,10667
65,0,1,10667
52,10,1,19702
42,10,1,19702
23,15,1,19702
17,11,1,19702
52,12,1,29442
45,12,1,29442
28,16,1,29442
25,15,1,29442
28,10,1,6050
24,12,1,6050
63,4,1,20065
58,4,1,20065
34,10,1,20065
29,12,1,20065
9,4,1,20065
6,0,1,20065
1,0,1,20065
74,13,1,18452
68,6,1,18452
77,6,1,8229
66,4,1,8229
30,10,1,8229
23,7,1,8229
25,8,1,8229
3,0,1,8229
50,3,1,7808
45,5,1,7808
16,8,1,7808
14,5,1,7808
60,6,1,6022
50,3,1,6022
26,10,1,6022
70,10,1,35833
65,0,1,35833
37,15,1,35833
29,15,1,35833
6,0,1,35833
1,0,1,35833
27,14,1,35833
24,15,1,35833
44,10,1,20667
38,15,1,20667
14,9,1,20667
11,6,1,20667
7,1,1,20667
38,8,1,20417
30,10,1,20417
8,2,1,20417
5,0,1,20417
70,0,1,25933
29,4,1,25933
12,6,1,25933
8,3,1,25933
54,5,1,41433
44,0,1,41433
37,11,1,41433
24,11,1,41433
28,17,1,41433
42,5,1,30750
40,7,1,30750
16,10,1,30750
5,0,1,30750
17,11,1,30750
10,5,1,30750
41,10,1,15433
35,8,1,15433
8,2,1,15433
3,0,1,15433
75,0,1,15433
60,4,1,35625
55,0,1,35625
29,5,1,35625
20,8,1,35625
62,16,1,28333
51,10,1,28333
23,15,1,28333
27,17,1,28333
44,12,1,31667
42,12,1,31667
18,12,1,31667
14,9,1,31667
79,7,1,17083
47,10,1,17083
40,10,1,17083
7,1,1,17083
22,15,1,16667
21,16,1,16667
75,0,1,16667
52,9,1,16667
48,7,1,16667
25,15,1,16667
24,15,1,6333
65,9,1,5417
30,15,1,23333
28,17,1,23333
4,0,1,23333
55,16,1,16167
42,0,1,16167
24,16,1,16167
18,12,1,16167
70,15,1,16417
65,12,1,16417
38,12,1,16417
30,15,1,16417
2,0,1,16417
3,0,1,16417
17,10,1,16417
55,7,1,10833
45,7,1,10833
30,10,1,10833
24,12,1,10833
6,0,1,10833
3,0,1,10833
35,17,1,16417
45,15,1,16417
5,0,1,16417
1,0,1,16417
24,12,1,4508
44,7,1,16167
39,12,1,16167
6,0,1,16167
14,8,1,16167
3,0,1,16167
30,9,1,6592
26,0,1,6592
12,4,1,6592
6,0,1,6592
24,8,1,6592
21,5,1,4508
70,3,1,23983
65,11,1,23983
43,15,1,23983
35,16,1,23983
7,1,1,23983
7,1,1,23983
42,10,1,23983
27,12,1,23983
3,0,1,23983
53,15,1,19500
47,15,1,19500
17,11,1,19500
41,15,1,18083
36,14,1,18083
9,2,1,18083
13,8,1,18083
50,10,1,8783
49,15,1,8783
20,0,1,8783
29,10,1,8908
25,12,1,8908
27,13,1,8908
60,0,1,8908
38,14,1,12217
35,12,1,12217
4,0,1,12217
12,6,1,12217
5,0,1,12217
44,7,1,6433
80,10,1,15267
54,18,1,15267
48,17,1,15267
22,14,1,15267
15,10,1,15267
48,10,1,10133
43,10,1,10133
17,11,1,10133
8,3,1,10133
75,0,1,10133
65,11,1,16667
51,7,1,16667
33,15,1,16667
28,15,1,16667
6,0,1,16667
32,15,1,16667
33,16,1,16667
30,16,1,16667
36,17,1,21583
33,17,1,21583
8,2,1,21583
64,15,1,12833
60,7,1,12833
18,12,1,4008
60,3,1,4517
54,8,1,9150
40,5,1,9150
12,8,1,9150
9,5,1,9150
52,9,1,17208
49,10,1,17208
27,14,1,17208
24,14,1,17208
84,0,1,17208
51,15,1,14292
42,10,1,14292
23,13,1,14292
20,13,1,14292
58,10,1,8108
54,10,1,8108
32,16,1,21175
32,17,1,21175
3,0,1,21175
36,9,1,17500
32,15,1,17500
3,0,1,17500
6,2,1,17500
72,4,1,13933
57,9,1,13933
28,15,1,13933
43,9,1,9975
13,7,1,9975
75,7,1,9975
50,9,1,9992
39,9,1,9992
15,9,1,9992
13,8,1,9992
55,5,1,21125
45,0,1,21125
22,15,1,21125
26,17,1,21125
20,12,1,21125
68,10,1,18500
58,5,1,18500
37,10,1,18500
27,9,1,18500
9,3,1,18500
7,0,1,18500
35,10,1,18500
33,10,1,11208
29,12,1,11208
4,0,1,11208
0,0,1,11208
50,7,1,12667
50,8,1,12667
25,13,1,12667
24,15,1,12667
40,8,1,10167
37,5,1,10167
14,9,1,10167
15,10,1,10167
9,3,1,10167
60,0,1,10167
18,8,1,10167
43,7,1,10000
37,9,1,10000
16,9,1,10000
18,12,1,10000
15,9,1,10000
70,0,1,10000
42,9,1,10575
35,9,1,10575
10,3,1,10575
76,0,1,10575
36,7,1,10575
62,0,1,8167
60,4,1,8167
53,15,1,18667
52,10,1,18667
26,15,1,18667
24,15,1,18667
22,12,1,18667
3,0,1,18667
43,10,1,6208
36,10,1,6208
17,12,1,6208
11,6,1,6208
37,13,1,12610
34,9,1,12610
12,6,1,12610
9,2,1,12610
7,1,1,12610
62,7,1,12610
31,6,1,8167
29,6,1,8167
10,3,1,8167
7,0,1,8167
50,15,1,36500
45,10,1,36500
30,16,1,36500
30,12,1,36500
30,10,1,15208
26,12,1,15208
0,0,1,15208
5,0,1,15208
3,0,1,15208
30,12,1,6288
60,0,1,6288
38,9,1,24500
36,5,1,24500
4,0,1,24500
4,0,1,24500
44,10,1,13870
38,10,1,13870
21,15,1,13870
19,12,1,13870
54,15,1,14173
29,14,1,14173
26,16,1,14173
36,14,1,19064
32,15,1,19064
4,0,1,19064
63,8,1,19064
60,5,1,15273
55,8,1,15273
32,10,1,15273
25,12,1,15273
1,0,1,15273
50,4,1,12318
48,9,1,12318
27,9,1,12318
21,11,1,12318
52,15,1,11008
65,7,1,4510
48,7,1,4510
45,19,1,47583
43,12,1,47583
13,7,1,47583
8,3,1,47583
59,15,1,21000
55,14,1,21000
34,15,1,21000
33,17,1,21000
5,0,1,21000
43,10,1,15667
23,15,1,15667
16,11,1,15667
69,15,1,15417
62,15,1,15417
40,13,1,16667
38,10,1,16667
13,7,1,16667
10,4,1,16667
36,10,1,11667
28,7,1,11667
9,3,1,11667
5,0,1,11667
27,10,1,11667
26,9,1,11667
4,0,1,11667
8,1,1,11667
74,0,1,10417
70,0,1,10417
38,4,1,10583
35,0,1,10583
5,0,1,10583
7,1,1,10583
52,12,1,13173
41,12,1,13173
19,13,1,13173
10,3,1,13173
39,15,1,37500
35,9,1,37500
15,9,1,37500
41,10,1,37500
12,5,1,37500
38,10,1,37500
64,7,1,15492
60,4,1,15492
28,13,1,15492
22,12,1,15492
70,11,1,10708
36,10,1,10708
48,15,1,22875
34,9,1,22875
72,5,1,22875
52,12,1,11708
45,2,1,11417
42,9,1,11417
5,0,1,11417
11,4,1,11417
40,1,1,18125
35,0,1,18125
11,5,1,18125
9,3,1,18125
52,12,1,41763
43,10,1,41763
18,12,1,41763
16,10,1,41763
83,7,1,41763
33,10,1,23080
65,10,1,23080
55,10,1,23080
35,12,1,16142
60,7,1,16142
30,12,1,16142
53,5,1,17323
48,6,1,17323
24,13,1,17323
22,15,1,17323
38,8,1,21121
30,10,1,21121
5,0,1,21121
4,0,1,21121
65,9,1,16688
60,9,1,16688
25,15,1,16688
49,10,1,41638
48,0,1,41638
22,8,1,41638
20,12,1,41638
18,12,1,41638
36,15,1,27350
29,13,1,27350
9,2,1,27350
4,0,1,27350
64,10,1,16458
54,10,1,16458
32,17,1,16458
32,15,1,16458
29,15,1,16458
58,10,1,13000
53,10,1,13000
23,15,1,13000
35,15,1,13458
30,15,1,13458
10,4,1,13458
65,12,1,13458
52,15,1,15417
43,14,1,15417
21,15,1,15417
20,12,1,15417
73,10,1,10792
73,10,1,10792
65,15,1,11000
60,15,1,11000
68,7,1,7758
50,9,1,7758
25,9,1,7758
17,9,1,7758
48,7,1,8758
33,5,1,8758
19,9,1,8758
17,9,1,8758
19,5,1,8758
50,18,1,20917
45,15,1,20917
16,10,1,20917
46,12,1,21542
22,12,1,21542
25,15,1,21542
24,15,1,21542
36,17,1,26333
72,17,1,26333
66,17,1,26333
35,17,1,20833
30,17,1,20833
9,2,1,20833
5,0,1,20833
25,17,1,20833
32,17,1,20917
26,17,1,20917
4,0,1,20917
1,0,1,20917
35,15,1,26000
9,2,1,26000
16,10,1,26000
13,6,1,26000
35,17,1,5542
32,17,1,10583
32,17,1,10583
55,17,1,19398
53,10,1,19398
25,15,1,19398
21,15,1,19398
1,0,1,19398
1,0,1,19398
19,12,1,19398
52,15,1,17067
48,10,1,17067
24,15,1,17067
22,15,1,17067
36,12,1,14742
35,12,1,14742
15,9,1,14742
12,5,1,14742
10,4,1,14742
40,12,1,8358
34,9,1,8358
14,7,1,8358
6,1,1,8358
65,8,1,8192
68,0,1,8192
30,9,1,8192
28,10,1,8192
28,0,1,8192
9,4,1,8192
60,0,1,7300
55,0,1,7300
22,10,1,7300
68,8,1,16850
64,9,1,16850
19,13,1,16850
17,11,1,16850
23,0,1,3183
50,8,1,12283
49,0,1,12283
28,12,1,12283
25,9,1,12283
25,12,1,12283
22,14,1,12283
48,12,1,10933
44,10,1,10933
21,12,1,10933
17,11,1,10933
20,14,1,10933
45,10,1,10158
40,8,1,10158
16,9,1,10158
19,12,1,10158
80,0,1,10158
40,10,1,15125
35,12,1,15125
14,8,1,15125
11,5,1,15125
38,8,1,15125
34,8,1,15125
7,1,1,15125
11,5,1,15125
35,9,1,8708
24,12,1,8708
0,0,1,8708
4,0,1,8708
38,3,1,10117
36,10,1,10117
4,0,1,10117
11,5,1,10117
7,1,1,10117
70,0,1,3783
65,0,1,3783
40,9,1,7383
37,9,1,7383
12,6,1,7383
5,0,1,7383
67,0,1,7383
40,8,1,23800
31,10,1,23800
7,0,1,23800
4,0,1,23800
38,9,1,23800
31,12,1,23800
7,0,1,23800
4,0,1,23800
31,12,1,23800
27,12,1,23800
3,0,1,23800
1,0,1,23800
34,9,1,23800
63,5,1,20542
53,7,1,20542
26,14,1,20542
20,15,1,20542
23,17,1,20542
40,12,1,10375
31,10,1,10375
13,7,1,10375
10,3,1,10375
7,1,1,10375
2,0,1,10375
11,5,1,10375
48,12,1,16292
38,9,1,16292
16,10,1,16292
50,7,1,8445
21,15,1,8445
38,9,1,13567
26,10,1,13567
9,4,1,13567
7,2,1,13567
30,0,1,10250
28,0,1,10250
6,0,1,10250
0,0,1,10250
3,0,1,10250
46,13,1,18458
40,10,1,18458
18,12,1,18458
46,18,1,24750
41,18,1,24750
17,11,1,24750
19,13,1,24750
52,10,1,41292
46,10,1,41292
26,17,1,41292
21,17,1,41292
60,10,1,10650
55,10,1,10650
11,5,1,10650
9,3,1,10650
45,10,1,12875
40,10,1,12875
7,1,1,12875
55,10,1,11867
50,0,1,11867
28,9,1,11867
25,8,1,11867
2,0,1,11867
4,0,1,11867
36,7,1,9800
32,10,1,9800
4,0,1,9800
11,5,1,9800
8,2,1,9800
10,4,1,6833
36,9,1,10158
33,9,1,10158
13,7,1,10158
9,3,1,10158
47,12,1,10958
43,10,1,10958
18,13,1,10958
16,11,1,10958
63,10,1,17200
51,10,1,17200
30,16,1,17200
25,16,1,17200
45,5,1,10622
41,5,1,10622
18,11,1,10622
20,14,1,10622
32,15,1,8308
28,15,1,8308
61,9,1,8308
47,9,1,9227
39,9,1,9227
13,8,1,9227
16,11,1,9227
69,0,1,9227
49,15,1,5097
70,7,1,8040
55,9,1,8040
30,9,1,8040
28,9,1,8040
9,3,1,8040
52,4,1,9060
30,8,1,9060
26,9,1,9060
65,0,1,10700
42,7,1,10700
39,12,1,10700
29,0,1,10700
9,3,1,10700
7,0,1,10700
36,8,1,10700
44,9,1,9673
41,7,1,9673
18,12,1,9673
16,10,1,9673
21,12,1,9673
47,0,1,10983
30,10,1,10983
25,0,1,10983
4,0,1,10983
0,0,1,10983
25,10,1,10983
20,7,1,10983
44,5,1,8510
41,7,1,8510
21,11,1,8510
20,11,1,8510
40,10,1,9278
32,9,1,9278
3,0,1,9278
14,8,1,9278
13,7,1,9278
11,4,1,9278
6,0,1,9278
70,7,1,7383
42,12,1,7383
35,5,1,7383
15,9,1,7383
14,8,1,7383
12,6,1,7383
72,0,1,3222
48,0,1,3222
70,0,1,2522
48,7,1,2522
50,10,1,30458
45,10,1,30458
21,15,1,30458
18,12,1,30458
52,10,1,20583
49,11,1,20583
12,7,1,20583
15,10,1,20583
64,7,1,15417
34,10,1,15417
32,15,1,15417
42,11,1,25500
37,12,1,25500
7,1,1,25500
15,8,1,25500
64,11,1,15292
61,15,1,8292
28,15,1,10375
26,15,1,10375
3,0,1,10375
52,9,1,10412
55,10,1,8167
45,10,1,8167
23,15,1,8167
25,17,1,8167
75,4,1,8167
72,15,1,14917
70,8,1,14917
28,15,1,14917
29,17,1,14917
45,12,1,5100
19,14,1,5100
42,9,1,18667
39,9,1,18667
18,12,1,18667
16,11,1,18667
40,12,1,8083
32,9,1,8083
42,10,1,8083
34,6,1,8083
53,3,1,13750
49,7,1,13750
37,8,1,13750
32,9,1,13750
4,0,1,13750
6,1,1,13750
77,9,1,3583
70,9,1,3583
69,15,1,16208
60,10,1,16208
29,16,1,16208
86,15,1,21042
77,10,1,21042
51,17,1,21042
40,12,1,21042
17,11,1,21042
36,11,1,10867
31,15,1,10867
8,3,1,10867
57,17,1,12767
50,17,1,12767
56,12,1,7375
50,9,1,7375
65,4,1,19000
40,9,1,19000
32,12,1,19000
11,6,1,19000
6,1,1,19000
37,9,1,19000
27,8,1,19000
2,0,1,19000
7,2,1,19000
60,0,1,9517
52,3,1,9517
32,9,1,9517
30,9,1,9517
45,8,1,11958
35,7,1,11958
16,9,1,11958
10,4,1,11958
5,0,1,11958
65,15,1,16500
60,9,1,16500
34,9,1,16500
22,9,1,16500
6,0,1,16500
0,0,1,16500
31,12,1,16500
29,16,1,16500
2,0,1,16500
59,12,1,10625
50,0,1,10625
30,15,1,10625
22,15,1,10625
31,12,1,32542
10,4,1,32542
14,9,1,32542
60,12,1,9625
55,0,1,9625
28,9,1,9625
21,7,1,9625
22,12,1,9625
85,0,1,9625
62,10,1,5342
58,7,1,5342
28,9,1,6375
24,5,1,6375
2,0,1,6375
41,5,1,7542
35,8,1,7542
14,7,1,7542
12,5,1,7542
9,3,1,7542
33,0,1,6417
31,9,1,6417
16,7,1,6417
62,10,1,18633
58,12,1,18633
33,16,1,18633
33,18,1,18633
3,0,1,18633
25,17,1,14442
23,14,1,14442
53,2,1,14442
43,14,1,5842
71,9,1,5842
51,12,1,14822
29,14,1,14822
28,10,1,14822
24,12,1,14822
54,12,1,18117
43,18,1,18117
5,0,1,18117
9,4,1,18117
52,14,1,18117
85,2,1,18117
39,17,1,15233
32,15,1,15233
8,3,1,15233
5,0,1,15233
38,15,1,10225
12,8,1,10225
8,2,1,10225
32,8,1,7323
28,9,1,7323
5,0,1,7323
60,10,1,12750
50,0,1,12750
35,9,1,12750
29,15,1,12750
5,0,1,12750
8,2,1,12750
28,14,1,12750
48,12,1,7417
38,7,1,7417
19,11,1,7417
21,15,1,7417
42,4,1,8500
35,0,1,8500
20,10,1,8500
17,11,1,8500
14,9,1,8500
50,7,1,10583
40,4,1,10583
17,11,1,10583
15,9,1,10583
16,10,1,10583
35,8,1,7500
30,17,1,7500
8,2,1,7500
7,1,1,7500
45,9,1,8500
38,4,1,8500
24,9,1,8500
21,10,1,8500
13,7,1,8500
60,0,1,4217
56,0,1,4217
30,9,1,5333
54,4,1,5333
55,12,1,8993
46,10,1,8993
22,16,1,8993
75,8,1,8993
51,8,1,11772
42,8,1,11772
23,15,1,11772
21,14,1,11772
76,8,1,10943
69,7,1,10943
48,10,1,10943
40,10,1,10943
19,12,1,10943
17,10,1,10943
60,10,1,8725
28,15,1,8725
39,7,1,4457
24,9,1,4457
43,14,1,8458
46,5,1,4312
61,6,1,8712
40,8,1,8712
32,8,1,8712
11,3,1,8712
13,5,1,8712
53,15,1,15758
52,17,1,15758
17,12,1,15758
49,4,1,15758
65,7,1,17188
55,5,1,17188
37,14,1,17188
32,15,1,17188
10,4,1,17188
0,0,1,17188
34,12,1,17188
51,9,1,17542
43,9,1,17542
25,12,1,17542
18,12,1,17542
80,0,1,17542
25,12,1,14417
24,12,1,14417
1,0,1,14417
34,12,1,15883
30,7,1,15883
12,7,1,15883
11,6,1,15883
10,3,1,15883
66,11,1,11292
59,9,1,11292
37,10,1,10417
29,10,1,10417
23,12,1,10417
42,9,1,12417
38,9,1,12417
11,6,1,12417
52,15,1,8833
42,10,1,8833
21,15,1,8833
60,12,1,13625
55,0,1,13625
33,16,1,13625
27,15,1,13625
4,0,1,13625
30,15,1,13625
45,15,1,5833
48,17,1,5833
14,8,1,5833
79,17,1,16292
72,4,1,16292
35,17,1,16292
9,2,1,16292
13,6,1,16292
38,17,1,5250
33,10,1,5958
28,7,1,5958
5,0,1,5958
3,0,1,5958
65,0,1,4650
58,0,1,4650
82,0,1,4650
60,5,1,4900
56,5,1,4900
19,9,1,4900
76,12,1,17167
70,12,1,17167
45,15,1,17167
40,17,1,17167
15,9,1,17167
57,15,1,19942
50,10,1,19942
27,15,1,19942
23,15,1,19942
29,17,1,19942
22,17,1,19942
40,0,1,14350
39,7,1,14350
19,9,1,14350
17,11,1,14350
21,14,1,14350
15,9,1,14350
40,17,1,16583
35,12,1,16583
14,8,1,16583
3,0,1,16583
1,0,1,16583
25,10,1,6000
22,0,1,6000
50,9,1,10807
45,0,1,10807
17,9,1,10807
20,12,1,10807
45,0,1,5850
40,7,1,5850
35,9,1,14350
30,9,1,14350
12,6,1,14350
1,0,1,14350
7,1,1,14350
62,10,1,16721
60,10,1,16721
35,16,1,16721
34,18,1,16721
5,0,1,16721
5,0,1,16721
64,15,1,10327
60,10,1,10327
56,10,1,6655
56,7,1,5863
64,10,1,13853
41,17,1,13853
33,17,1,13853
4,0,1,13853
8,2,1,13853
58,9,1,12963
50,9,1,12963
29,12,1,12963
22,15,1,12963
79,0,1,12963
16,11,1,6501
56,9,1,7960
50,9,1,9725
45,10,1,9725
20,15,1,9725
16,11,1,9725
50,12,1,53167
40,8,1,53167
21,15,1,53167
23,17,1,53167
40,10,1,10500
45,5,1,10500
21,14,1,10500
11,6,1,10500
55,4,1,15555
30,12,1,15555
27,14,1,15555
66,7,1,45500
55,6,1,45500
30,10,1,45500
48,8,1,12500
18,12,1,12500
12,6,1,12500
39,12,1,20458
34,10,1,20458
13,7,1,20458
10,4,1,20458
40,2,1,6292
35,0,1,6292
38,10,1,21233
34,10,1,21233
16,11,1,21233
3,0,1,21233
50,3,1,21233
45,10,1,31000
35,10,1,31000
11,6,1,31000
17,12,1,31000
13,9,1,31000
70,0,1,31000
52,8,1,16500
47,9,1,16500
26,17,1,16500
14,10,1,16500
49,3,1,20625
34,10,1,20625
24,9,1,20625
18,14,1,20625
34,10,1,19917
31,5,1,19917
5,0,1,19917
10,5,1,19917
0,0,1,19917
60,5,1,19917
55,5,1,19917
48,8,1,22375
38,8,1,22375
18,13,1,22375
14,9,1,22375
8,2,1,22375
73,7,1,6333
60,7,1,9583
57,9,1,9583
34,12,1,13517
32,12,1,13517
9,4,1,13517
8,2,1,13517
55,0,1,13517
31,12,1,13517
24,12,1,13517
50,15,1,9817
45,0,1,9817
19,12,1,9817
17,12,1,9817
63,9,1,7375
58,5,1,7375
25,14,1,7375
42,9,1,14000
38,7,1,14000
17,10,1,14000
15,9,1,14000
13,7,1,14000
11,5,1,14000
65,0,1,14000
50,7,1,11075
45,0,1,11075
26,9,1,11075
24,8,1,11075
20,12,1,11075
18,8,1,11075
40,0,1,5067
22,14,1,5067
50,0,1,9817
45,0,1,9817
25,9,1,9817
20,8,1,9817
75,0,1,17017
60,0,1,17017
40,7,1,17017
35,9,1,17017
11,5,1,17017
5,0,1,17017
9,3,1,17017
7,1,1,17017
30,7,1,17017
26,8,1,17017
59,17,1,9750
52,7,1,9750
24,16,1,9750
22,17,1,9750
44,10,1,12433
43,4,1,12433
20,14,1,12433
24,17,1,12433
75,2,1,12433
60,15,1,4917
59,8,1,4917
68,9,1,8417
62,5,1,8417
38,9,1,8417
35,9,1,8417
11,5,1,8417
5,0,1,8417
49,10,1,6967
41,3,1,6967
21,15,1,6967
16,10,1,6967
37,15,1,9333
34,12,1,9333
9,3,1,9333
5,0,1,9333
75,7,1,9333
68,2,1,9333
47,0,1,6500
23,10,1,6500
46,16,1,10333
39,16,1,10333
15,9,1,10333
11,5,1,10333
80,6,1,10333
56,10,1,33417
51,9,1,33417
30,12,1,33417
26,15,1,33417
28,15,1,33417
25,15,1,33417
56,10,1,27167
55,5,1,27167
38,15,1,27167
30,12,1,27167
5,0,1,27167
28,17,1,27167
26,12,1,27167
31,10,1,27167
38,17,1,20850
30,17,1,20850
8,2,1,20850
36,17,1,26083
33,18,1,26083
25,17,1,11100
29,15,1,16250
66,0,1,16250
30,17,1,12583
31,15,1,11500
40,10,1,26143
39,5,1,26143
17,13,1,26143
12,7,1,26143
18,14,1,26143
54,12,1,25708
49,9,1,25708
29,15,1,25708
33,15,1,25708
24,12,1,25708
26,12,1,25708
34,11,1,16153
30,12,1,16153
8,2,1,16153
4,0,1,16153
51,11,1,21023
47,8,1,21023
16,11,1,21023
12,6,1,21023
37,12,1,15073
37,0,1,15073
30,12,1,15500
30,5,1,15500
9,3,1,15500
7,2,1,15500
4,0,1,15500
52,9,1,10417
40,5,1,10417
17,12,1,10417
15,10,1,10417
11,7,1,10417
